"id","code","name","note","user_type_id:id","reconcile","chart_template_id:id"
"account_template_poppi_211_15_01","211.15.01","BANCOS (CHEQUES NAO COMPENSADOS)","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_01_01","221.01.01","PARC - INSS - GPS","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_01_02","221.01.02","PARC - PGE - ICMS","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_01_03","221.01.03","PARC - PGRF - INSS S/ FATURAMENTO","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_01_04","221.01.04","PARC - FGTS","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_01_05","221.01.05","PARC - IBAMA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_01_06","221.01.06","PARC - PGRF - GERAL","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_02_01","221.02.01","MECSUL MAQUINAS EQUIPTOS LTDA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_02_02","221.02.02","APOL COM TEC PART ADMINIST LDA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_02_03","221.02.03","NOTEX COM E REPRES LTDA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_221_02_04","221.02.04","MODERNU'S CALC IND COM EXP LTA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_01_01","231.01.01","CAPITAL","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_02_01","231.02.01","RESERVAS DE CAPITAL - IPC-90","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_02_02","231.02.02","RESERVAS DE CAPITAL","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_02_03","231.02.03","RESERVA ESPECIAL DE CAPITAL","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_03_01","231.03.01","LUCROS ACUMULADOS","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_03_02","231.03.02","RESERVAS DE LUCROS","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_03_03","231.03.03","LUCROS SUSPENSOS - IPC-90","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_231_04_01","231.04.01","SALDO CORRECAO MONET. - IPC-90","","account.data_account_type_equity","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_241_01_01","241.01.01","TITULOS EM COBRANCA","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_241_02_01","241.02.01","PRODUTOS EM DEMONSTRACAO EXTERIOR","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_241_03_01","241.03.01","MERCADORIAS EM DEMONSTRACAO","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
